internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,CFDA Number,Description,Place of Performance State Code,Place of Performance City Code,awarding_agency_id,agency_slug,generated_internal_id
231635734,15POVC23GK00929HT,COALITION TO ABOLISH SLAVERY & TRAFFICKING,2023-10-01,2027-06-30,2000000.0,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING VICTIMS HAVE COMPLEX LEGAL NEEDS BUT DUE TO A LACK IN IDENTIFICATION, MANY CANNOT ACCESS THE FULL SPECTRUM OF LEGAL RELIEF AVAILABLE TO THEM. EVEN WHEN VICTIMS ARE IDENTIFIED, THE DEMAND FOR LEGAL SERVICES OUTPACES THE NUMBER OF LEGAL PROVIDERS IN THE COUNTRY WHO ARE ADEQUATELY TRAINED IN TRAUMA-INFORMED AND RACIALLY EQUITABLE SERVICES. AS A RESULT, LEGAL SERVICES ARE AN UNMET NEED OF TRAFFICKING VICTIMS AND COMPRESSED TRAINING ON THE LEGAL NEEDS OF AND ETHICAL PROVISION SERVICES TO TRAFFICKING VICTIMS IS IN HIGH DEMAND. 

THROUGH ITS EXPERT LEGAL AND SOCIAL SERVICES STAFF, THE COALITION TO ABOLISH SLAVERY AND TRAFFICKING (CAST) PROPOSES TO CONTINUE ITS COMPREHENSIVE, NATIONAL, ACCESSIBLE AND INCLUSIVE TRAINING AND TECHNICAL ASSISTANCE (TTA) PROJECT TO STRENGTHEN LEGAL SERVICE PROVIDERS, PRO BONO ATTORNEYS, AND SOCIAL SERVICE PROVIDERS CAPACITY TO IDENTIFY AND PROVIDE COMPREHENSIVE LEGAL SERVICES TO VICTIMS OF HUMAN TRAFFICKING THROUGH A TRAUMA-INFORMED AND RACE EQUITY LENS. IN PARTNERSHIP WITH THE OFFICE FOR VICTIMS OF CRIME, CAST WILL BUILD ON OVER 15 YEARS OF PROVIDING TTA TO DEEPEN AND EXPAND ITS NATIONAL TTA EFFORTS TO INCREASE TRAFFICKING VICTIMS ACCESS TO QUALITY COMPREHENSIVE LEGAL SERVICES. ADDITIONALLY, CAST WILL LEVERAGE COLLABORATION WITH MANY NATIONAL PARTNERS LIKE FREEDOM NETWORK USAS SURVIVOR REENTRY PROJECT TO PROVIDE COMPREHENSIVE TTA.

THE PROJECT WILL PROVIDE COMPREHENSIVE LIVE AND ON-DEMAND TRAINING TO LEGAL AND SOCIAL SERVICE PROVIDERS INCLUDING ANTI-TRAFFICKING LAWYERING TRAINING MODULE 2, INTENSIVE T VISA DECLARATION WORKSHOPS, AND VICTIMS RIGHTS ADVOCACY FOR SOCIAL SERVICE PROVIDERS, AS WELL AS SELF-PACED ONLINE TRAINING TO MANY MORE ATTORNEYS AND SOCIAL SERVICE PROVIDERS NATIONALLY THROUGH AN ADVANCED LEARNING MANAGEMENT SYSTEM FOR ASYNCHRONOUS AND SYNCHRONOUS LEARNING. CAST WILL ALSO CONTINUE TO PROVIDE INDIVIDUAL TECHNICAL ASSISTANCE TO 40 LEGAL AND SOCIAL SERVICE PROFESSIONALS A MONTH, AS WELL AS WEEKLY LEGAL WORKING GROUP CALLS AND MONTHLY OFFICE HOURS FOR SOCIAL SERVICE PROVIDERS. CAST WILL SUBGRANT TO FREEDOM NETWORK USA TO SUPPORT TTA ON CRIMINAL RECORD RELIEF, AND TO THE NATIONAL CRIME VICTIMS LAW INSTITUTE WHO WILL SUPPORTTTA ON CRIME VICTIMS RIGHTS. WHILE TARGETED BENEFICIARIES ARE LEGAL AND SOCIAL SERVICE PROVIDERS, ANYONE INTERESTED IN INCREASING KNOWLEDGE IN THIS AREA WILL BE ABLE TO ACCESS THE CAST TTA WEBSITE FOR MATERIALS ON POPULAR TOPICS.

THROUGH THIS PROJECT, CAST WILL HAVE THE OPPORTUNITY TO CONTINUE TO TRANSFORM THE LANDSCAPE OF TRAINED LEGAL SERVICE PROVIDERS ASSISTING VICTIMS OF HUMAN TRAFFICKING AND TO VASTLY IMPROVE VICTIMS LIVES.",CA,CA44000,252,department-of-justice,ASST_NON_15POVC23GK00929HT_015
231635787,15POVC23GK04059HT,FREEDOM NETWORK USA,2023-10-01,2027-09-30,1999999.0,Department of Justice,Office of Justice Programs,16.320,"THROUGH THE HOUSING TTA PROJECT, FREEDOM NETWORK USA WILL PROVIDE TRAINING AND TECHNICAL ASSISTANCE (TTA) TO VICTIM SERVICE AND HOUSING PROVIDERS (INCLUDING OVC HOUSING GRANTEES) ON HOUSING OPTIONS AVAILABLE TO SURVIVORS OF TRAFFICKING AND SUPPORT TO IMPLEMENT LOW-BARRIER, TRAUMA-INFORMED, VICTIM-CENTERED, CULTURALLY-RESPONSIVE HOUSING POLICIES AND PRACTICES THAT PRIORITIZE THE AUTONOMY AND PROTECT SURVIVORS CONFIDENTIALITY AND SAFETY. THE PROJECT WILL FACILITATE COLLABORATION AMONG ANTI-TRAFFICKING SERVICE PROVIDERS, COMMUNITY PARTNERS, AND OTHER STAKEHOLDERS TO ENHANCE IDENTIFICATION, REFERRALS, HOUSING ACCESSIBILITY AND SECURITY, AND SERVICE DELIVERY.",DC,DC50000,252,department-of-justice,ASST_NON_15POVC23GK04059HT_015
234915215,2016VTBXK056,"UNIVERSITY OF MARYLAND, BALTIMORE",2016-10-01,2021-03-31,1821889.95,Department of Justice,Office of Justice Programs,16.320,MARYLAND HUMAN TRAFFICKING INITIATIVE FOR CHILDREN AND YOUTH,MD,MD04000,252,department-of-justice,ASST_NON_2016VTBXK056_015
234950152,2020VMBX0007,"JUDICIARY COURTS, THE STATE OF FLORIDA OF",2021-01-01,2022-12-31,1816149.56,Department of Justice,Office of Justice Programs,16.320,ENHANCING AND EXPANDING SERVICES FOR MINOR VICTIMS OF SEX TRAFFICKING IN MIAMI-DADE,FL,FL45000,252,department-of-justice,ASST_NON_2020VMBX0007_015
234950153,2020VMBX0008,DEPARTMENT OF CRIMINAL JUSTICE SERVICES VIRGINIA,2021-01-01,2023-12-31,1633437.2,Department of Justice,Office of Justice Programs,16.320,ASSISTANCE PROGRAMS FOR MINOR VICTIMS OF SEX TRAFFICKING,VA,VA67000,252,department-of-justice,ASST_NON_2020VMBX0008_015
231634592,15POVC21GG02840MUMU,LOUISIANA OFFICE OF THE GOVERNOR,2021-10-01,2026-09-30,1500000.0,Department of Justice,Office of Justice Programs,16.834,THE LOUISIANA CHILD AND YOUTH TRAFFICKING COLLABORATIVE ACCESSIBILITY INITIATIVE: A STATEWIDE PROJECT TO CREATE AN EQUITABLE AND ACCESSIBLE CARE COORDINATION MODEL FOR ALL CHILD AND YOUTH VICTIMS OF HUMAN TRAFFICKING IN LOUISIANA,LA,LA05000,252,department-of-justice,ASST_NON_15POVC21GG02840MUMU_015
234937978,2019NZNX0031,MINNESOTA DEPARTMENT OF HEALTH,2019-10-01,2022-09-30,1499999.0,Department of Justice,Office of Justice Programs,16.320,MINNESOTA'S SAFE HARBOR EXPANSION TO IMPROVE OUTCOMES FOR TRAFFICKED CHILDREN AND YOUTH PROJECT,MN,MN58000,252,department-of-justice,ASST_NON_2019NZNX0031_015
234950418,2020VTBXK003,"ICF INCORPORATED, L.L.C.",2020-10-01,2024-09-30,1495003.73,Department of Justice,Office of Justice Programs,16.320,HUMAN TRAFFICKING TRAINING AND TECHNICAL ASSISTANCE PROGRAM: CATEGORY 1: ECM TASK FORCES: CAPACITY BUILDING AND IMPLEMENTATION,VA,VA66672,252,department-of-justice,ASST_NON_2020VTBXK003_015
234946850,2020MUMU0024,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,2020-10-01,2024-09-30,1466796.56,Department of Justice,Office of Justice Programs,16.320,NEBRASKA SUPPORT FOR YOUTH VICTIMS OF HUMAN TRAFFICKING,NE,NE28000,252,department-of-justice,ASST_NON_2020MUMU0024_015
234921696,2017MUMUK012,OFFICE OF EMERGENCY SERVICES,2017-10-01,2021-09-30,1436490.73,Department of Justice,Office of Justice Programs,16.320,IMPROVING OUTCOMES FOR CHILD & YOUTH VICTIMS OF HUMAN TRAFFICKING IN CALIFORNIA,CA,CA46282,252,department-of-justice,ASST_NON_2017MUMUK012_015
